Date,Open,High,Low,Close,Volume
01-Jul-17,142.9,144.75,142.9,144.18,19201712
06-Jul-17,143.02,143.5,142.41,142.73,24128782
05-Jul-17,143.69,144.79,142.72,144.09,21569557
03-Jul-17,144.88,145.3,143.1,143.5,14277848
30-Jun-17,144.45,144.96,143.78,144.02,23024107
29-Jun-17,144.71,145.13,142.28,143.68,31499368
